#time(s),angle(deg)
0.0,2.9923742377913274
1.0,6.789048751346533
2.0,14.580453225685503
3.0,19.101078086992604
4.0,22.63096134710621
5.0,25.505602200803363
6.0,28.258038688570974
7.0,30.771371297997035
8.0,33.2423128647708
9.0,35.418632603595036
10.0,37.478190455852115
11.0,39.61899292427896
12.0,41.546467571928
13.0,43.39874876383294
14.0,45.186220419759714
15.0,46.863988678262224
16.0,48.643050885829176
17.0,50.275047914136394
18.0,51.91494693639546
19.0,53.60744452457438
20.0,55.17221116909083
21.0,56.70487496727874
22.0,58.21012373041963
23.0,59.73258807540852
24.0,61.230845786345036
25.0,62.706623698831066
26.0,64.16271459616324
27.0,65.59972953488605
28.0,67.02143858263324
29.0,68.42645647176354
30.0,69.8190415032758
31.0,71.23826244096
32.0,72.60691105529892
33.0,74.0052571334694
34.0,75.3934506426158
35.0,76.73609911616599
36.0,78.0724290842789
37.0,79.40284547605428
38.0,80.76691525205365
39.0,82.0895048076494
40.0,83.44694361145734
41.0,84.72740856292623
42.0,86.08231899284277
43.0,87.51257821384112
44.0,88.79320319285253
45.0,90.0
