time,dof,velocity,ext_force,lenz_force
0.000000e+00,3.000000000000e+00,0.000000000000e+00,3.086568216660e-02,0.000000000000e+00
1.000000e-02,3.007627129077e+00,1.504420831044e+00,3.094408234845e-02,2.559873914638e-03
2.000000e-02,3.029693473351e+00,2.890196850151e+00,3.117090187584e-02,4.990225598836e-03
3.000000e-02,3.065075348958e+00,4.169123596291e+00,3.153458182889e-02,7.367377835202e-03
4.000000e-02,3.112746454636e+00,5.349065751448e+00,3.202456014271e-02,9.748511390795e-03
5.000000e-02,3.171743268789e+00,6.434861195888e+00,3.263091684584e-02,1.217563882137e-02
6.000000e-02,3.241138654196e+00,7.429051151230e+00,3.334410352188e-02,1.467795189901e-02
7.000000e-02,3.320022076028e+00,8.332508415873e+00,3.415474069562e-02,1.727315882240e-02
8.000000e-02,3.407485813974e+00,9.145004702196e+00,3.505347683220e-02,1.996825686271e-02
9.000000e-02,3.502616617976e+00,9.865739105809e+00,3.603090331598e-02,2.276008855325e-02
1.000000e-01,3.604492223885e+00,1.049383828575e+01,3.707751941221e-02,2.563596851109e-02
1.100000e-01,3.712183246162e+00,1.102881178145e+01,3.818375250301e-02,2.857458674153e-02
1.200000e-01,3.824759157503e+00,1.147095575208e+01,3.934002030232e-02,3.154734274903e-02
1.300000e-01,3.941297705153e+00,1.182168294542e+01,4.053682831987e-02,3.452016469710e-02
1.400000e-01,4.060897261757e+00,1.208375327129e+01,4.176489735908e-02,3.745576799746e-02
1.500000e-01,4.182691133246e+00,1.226138715962e+01,4.301531095187e-02,4.031621563747e-02
1.600000e-01,4.305862139630e+00,1.236025283832e+01,4.427966538976e-02,4.306555373184e-02
1.700000e-01,4.429656508685e+00,1.238733096271e+01,4.555021246691e-02,4.567226770340e-02
1.800000e-01,4.553395865484e+00,1.235067260571e+01,4.681998243477e-02,4.811130339659e-02
1.900000e-01,4.676486375361e+00,1.225907525414e+01,4.808287751323e-02,5.036543989558e-02
2.000000e-01,4.798424379522e+00,1.212171176049e+01,4.933372921608e-02,5.242589635145e-02
2.100000e-01,4.918798262023e+00,1.194774881833e+01,5.056831686600e-02,5.429215762800e-02
2.200000e-01,5.037286567038e+00,1.174599484123e+01,5.178334755767e-02,5.597112941276e-02
2.300000e-01,5.153652684689e+00,1.152460872083e+01,5.297640089989e-02,5.747581119975e-02
2.400000e-01,5.267737530529e+00,1.129085586326e+01,5.414585320792e-02,5.882355759458e-02
2.500000e-01,5.379449577004e+00,1.105098516230e+01,5.529077461357e-02,6.003442630598e-02
