time,dof,velocity,ext_force,lenz_force
0.000000e+00,3.000000000000e+00,0.000000000000e+00,3.086568216660e-02,0.000000000000e+00
1.000000e-02,3.007848177908e+00,1.570249432613e+00,3.094635452794e-02,2.672278137601e-03
2.000000e-02,3.031433721640e+00,3.148707608000e+00,3.118878965821e-02,5.442812790337e-03
3.000000e-02,3.070879040193e+00,4.743624823890e+00,3.159423512963e-02,8.414339778599e-03
4.000000e-02,3.126390756719e+00,6.363337054494e+00,3.216479641817e-02,1.169877967300e-02
5.000000e-02,3.198258541847e+00,8.016307591904e+00,3.290342395032e-02,1.542235088527e-02
6.000000e-02,3.286857891064e+00,9.711172350759e+00,3.381394024178e-02,1.973137015168e-02
7.000000e-02,3.392651634392e+00,1.145678350022e+01,3.490105349103e-02,2.479897891298e-02
8.000000e-02,3.516193025341e+00,1.326225722629e+01,3.617038679601e-02,3.083314130697e-02
9.000000e-02,3.658127579700e+00,1.513701814269e+01,3.762849379873e-02,3.808623309344e-02
1.000000e-01,3.819196774313e+00,1.709084844201e+01,3.928289256421e-02,4.686672016338e-02
1.100000e-01,4.000241844368e+00,1.913393681935e+01,4.114209939555e-02,5.755343566052e-02
1.200000e-01,4.202208336470e+00,2.127693256677e+01,4.321566909044e-02,7.061313939397e-02
1.300000e-01,4.426150707161e+00,2.353099769317e+01,4.551423403595e-02,8.662212593201e-02
1.400000e-01,4.673237763410e+00,2.590786200452e+01,4.804954993784e-02,1.062928969768e-01
1.500000e-01,4.944758556167e+00,2.841988194771e+01,5.083454371140e-02,1.305071030007e-01
1.600000e-01,5.242129299854e+00,3.108010308555e+01,5.388336881450e-02,1.603562720641e-01
1.700000e-01,5.566900449631e+00,3.390232311031e+01,5.721145837532e-02,1.971921017672e-01
1.800000e-01,5.920764248157e+00,3.690115697974e+01,6.083557840549e-02,2.426885497309e-01
1.900000e-01,6.305563839153e+00,4.009210836622e+01,6.477389120216e-02,2.989185664557e-01
2.000000e-01,6.723301483760e+00,4.349163761293e+01,6.904600230072e-02,3.684485551297e-01
2.100000e-01,7.176149934182e+00,4.711724328929e+01,7.367303074470e-02,4.544550833348e-01
2.200000e-01,7.666461657969e+00,5.098753360561e+01,7.867764623039e-02,5.608681035780e-01
2.300000e-01,8.196781877604e+00,5.512231278572e+01,8.408413146752e-02,6.925474532740e-01
2.400000e-01,8.769859586572e+00,5.954265852229e+01,8.991840682872e-02,8.554988869337e-01
2.500000e-01,9.388661523648e+00,6.427100961682e+01,9.620806413778e-02,1.057138998568e+00
2.600000e-01,1.005638563771e+01,6.933124817004e+01,1.029823692683e-01,1.306618483978e+00
2.700000e-01,1.077647683484e+01,7.474878818104e+01,1.102722558838e-01,1.615216323690e+00
2.800000e-01,1.155264188837e+01,8.055066138043e+01,1.181102711811e-01,1.996817914250e+00
2.900000e-01,1.238886620415e+01,8.676558407658e+01,1.265304918947e-01,2.468493043852e+00
3.000000e-01,1.328943121897e+01,9.342404064613e+01,1.355683870180e-01,3.051191914988e+00
3.100000e-01,1.425893258990e+01,1.005583649240e+02,1.452606153281e-01,3.770578461905e+00
3.200000e-01,1.530229797462e+01,1.082027508913e+02,1.556447293965e-01,4.658017973352e+00
3.300000e-01,1.642480687221e+01,1.163933255745e+02,1.667587910821e-01,5.751744334295e+00
3.400000e-01,1.763211083131e+01,1.251681999976e+02,1.786408576335e-01,7.098222642090e+00
3.500000e-01,1.893024954980e+01,1.345673219694e+02,1.913282663733e-01,8.753704916249e+00
3.600000e-01,2.032567297994e+01,1.446325280639e+02,2.048567843489e-01,1.078600706110e+01
3.700000e-01,2.182526193737e+01,1.554075132975e+02,2.192595085324e-01,1.327647873498e+01
3.800000e-01,2.343633464576e+01,1.669373737374e+02,2.345653521230e-01,1.632207323315e+01
3.900000e-01,2.516667079979e+01,1.792686033212e+02,2.507973696953e-01,2.003753112735e+01
4.000000e-01,2.702452860145e+01,1.924488765061e+02,2.679706215385e-01,2.455747821842e+01
4.100000e-01,2.901863186773e+01,2.065260641356e+02,2.860893085150e-01,3.003807829210e+01
4.200000e-01,3.115819254210e+01,2.215480867679e+02,3.051437176336e-01,3.665817923381e+01
4.300000e-01,3.345289346311e+01,2.375618666946e+02,3.251062136910e-01,4.461914970576e+01
4.400000e-01,3.591287850495e+01,2.546123784789e+02,3.459266535620e-01,5.414290893278e+01
4.500000e-01,3.854872987008e+01,2.727414408512e+02,3.675269875549e-01,6.546717796227e+01
