time,dof,velocity,ext_force,lenz_force
0.000000e+00,3.000000000000e+00,0.000000000000e+00,3.736700431848e-02,0.000000000000e+00
1.000000e-02,3.007272430857e+00,1.434536342168e+00,3.745750420771e-02,3.082897324565e-03
2.000000e-02,3.028316070823e+00,2.756545824678e+00,3.771937295050e-02,5.991815529894e-03
3.000000e-02,3.062068398510e+00,3.977963025150e+00,3.813937898197e-02,8.803811240472e-03
4.000000e-02,3.107569603891e+00,5.107560152191e+00,3.870556431099e-02,1.157559494847e-02
5.000000e-02,3.163935129488e+00,6.151716575258e+00,3.940690379049e-02,1.434759543164e-02
6.000000e-02,3.230334810458e+00,7.115042357858e+00,4.023304630498e-02,1.714692504727e-02
7.000000e-02,3.305977954095e+00,8.000885411855e+00,4.117412975580e-02,1.998963683820e-02
8.000000e-02,3.390102757806e+00,8.811754526444e+00,4.222064997637e-02,2.288256236488e-02
9.000000e-02,3.481969970443e+00,9.549666419842e+00,4.336338242131e-02,2.582490132507e-02
1.000000e-01,3.580847768072e+00,1.021221991629e+01,4.459319459242e-02,2.907156047519e-02
1.100000e-01,3.685939445387e+00,1.079242610428e+01,4.590014744907e-02,3.242608848771e-02
1.200000e-01,3.796426124014e+00,1.129156922031e+01,4.727402762740e-02,3.579882025452e-02
1.300000e-01,3.911508822258e+00,1.171207688409e+01,4.870487142082e-02,3.915561405988e-02
1.400000e-01,4.030417327847e+00,1.205735681502e+01,5.018307569492e-02,4.246247703711e-02
1.500000e-01,4.152420315484e+00,1.233176475628e+01,5.169952413613e-02,4.568767129359e-02
1.600000e-01,4.276834353303e+00,1.254049877727e+01,5.324569951439e-02,4.880344357927e-02
1.700000e-01,4.403031520274e+00,1.268943951800e+01,5.481377849678e-02,5.178730143771e-02
1.800000e-01,4.530444810680e+00,1.278435615128e+01,5.639669877954e-02,5.474862931067e-02
1.900000e-01,4.658509930472e+00,1.281823621754e+01,5.798743602087e-02,5.789985038365e-02
2.000000e-01,4.786619344867e+00,1.279477821064e+01,5.957843360705e-02,6.079555795277e-02
2.100000e-01,4.914250081618e+00,1.272414740685e+01,6.116319029189e-02,6.343389260062e-02
2.200000e-01,5.040979553482e+00,1.261615075332e+01,6.273645593982e-02,6.582337482980e-02
2.300000e-01,5.166480574671e+00,1.247989341732e+01,6.429416870490e-02,6.798065024088e-02
2.400000e-01,5.290512068923e+00,1.232355380024e+01,6.583333872088e-02,6.992812362918e-02
2.500000e-01,5.412909605661e+00,1.215423754082e+01,6.735192971945e-02,7.169162795270e-02
2.600000e-01,5.533573211397e+00,1.197717527676e+01,6.884870693927e-02,7.342553586068e-02
2.700000e-01,5.652400239339e+00,1.178571023047e+01,7.032240386132e-02,7.527525216623e-02
2.800000e-01,5.769251347828e+00,1.158325847153e+01,7.177130043107e-02,7.690432924255e-02
