time,dof,velocity,ext_force,lenz_force
0.000000e+00,3.000000000000e+00,0.000000000000e+00,3.736700431848e-02,0.000000000000e+00
1.000000e-02,3.007482225638e+00,1.496999102880e+00,3.746011493579e-02,3.217500560416e-03
2.000000e-02,3.029966159391e+00,3.001459080092e+00,3.773990657026e-02,6.529968409665e-03
3.000000e-02,3.067563077307e+00,4.520876922901e+00,3.820775222442e-02,1.003441308907e-02
4.000000e-02,3.120460625905e+00,6.062823594038e+00,3.886596679423e-02,1.383198360387e-02
5.000000e-02,3.188922098235e+00,7.634980651090e+00,3.971779705454e-02,1.803013450747e-02
6.000000e-02,3.273288501152e+00,9.245179002959e+00,4.076744591257e-02,2.274493125177e-02
7.000000e-02,3.373979807408e+00,1.090143637562e+01,4.202008598588e-02,2.810351816552e-02
8.000000e-02,3.491498188151e+00,1.261199962757e+01,4.348189719530e-02,3.424683873640e-02
9.000000e-02,3.626429055967e+00,1.438538214969e+01,4.516007637816e-02,4.193592496206e-02
1.000000e-01,3.779444465539e+00,1.623040648001e+01,4.706287534025e-02,5.104311981594e-02
1.100000e-01,3.951306376619e+00,1.815624682719e+01,4.919963610850e-02,6.178449410907e-02
1.200000e-01,4.142870494447e+00,2.017247384810e+01,5.158083203937e-02,7.444730716819e-02
1.300000e-01,4.355090434143e+00,2.228910210417e+01,5.421811133005e-02,8.936051384403e-02
1.400000e-01,4.589022367534e+00,2.451663583402e+01,5.712434452982e-02,1.076216818980e-01
1.500000e-01,4.845829763282e+00,2.686611800192e+01,6.031367075780e-02,1.305698906419e-01
1.600000e-01,5.126790003285e+00,2.934918660152e+01,6.380156419954e-02,1.577380975709e-01
1.700000e-01,5.433299582864e+00,3.197812472391e+01,6.760487928034e-02,1.898166334520e-01
1.800000e-01,5.766881810817e+00,3.476592118029e+01,7.174192227653e-02,2.306423337231e-01
1.900000e-01,6.129193208343e+00,3.772632552987e+01,7.623250110472e-02,2.797916924750e-01
2.000000e-01,6.522032080694e+00,4.087391205723e+01,8.109799507682e-02,3.380935123707e-01
2.100000e-01,6.947346751736e+00,4.422414277643e+01,8.636141185172e-02,4.125265361333e-01
2.200000e-01,7.407244844115e+00,4.779343447782e+01,9.204744673271e-02,5.004188350945e-01
2.300000e-01,7.904003494759e+00,5.159922798972e+01,9.818254045994e-02,6.106496100194e-01
2.400000e-01,8.440079231170e+00,5.566005686021e+01,1.047949167329e-01,7.424318164572e-01
2.500000e-01,9.018120265366e+00,5.999562237240e+01,1.119146298081e-01,9.074766364766e-01
2.600000e-01,9.640977049182e+00,6.462686340343e+01,1.195735663481e-01,1.106168981728e+00
2.700000e-01,1.031171672238e+01,6.957603323177e+01,1.278054653844e-01,1.351384689002e+00
2.800000e-01,1.103363567311e+01,7.486677366350e+01,1.366458783783e-01,1.652443700143e+00
2.900000e-01,1.181027384613e+01,8.052418787161e+01,1.461321059350e-01,2.019471230477e+00
3.000000e-01,1.264542970713e+01,8.657489320216e+01,1.563030876563e-01,2.468265922063e+00
3.100000e-01,1.354317596724e+01,9.304710377847e+01,1.671992342102e-01,3.017930366822e+00
3.200000e-01,1.450787577855e+01,9.997068644214e+01,1.788621833522e-01,3.691442562646e+00
3.300000e-01,1.554419852379e+01,1.073771613113e+02,1.913344516436e-01,4.516306032459e+00
3.400000e-01,1.665713808888e+01,1.152997876829e+02,2.046589954779e-01,5.525294803322e+00
3.500000e-01,1.785203022611e+01,1.237735759137e+02,2.188786147966e-01,6.757292306707e+00
3.600000e-01,1.913456648331e+01,1.328351408319e+02,2.340351400559e-01,8.258223518023e+00
3.700000e-01,2.051081528536e+01,1.425227963524e+02,2.501684928699e-01,1.008249939716e+01
3.800000e-01,2.198723864742e+01,1.528764729785e+02,2.673154406926e-01,1.231021262153e+01
3.900000e-01,2.357069691442e+01,1.639372917400e+02,2.855079130117e-01,1.500591456903e+01
4.000000e-01,2.526847292624e+01,1.757476331542e+02,3.047711897604e-01,1.827721032664e+01
4.100000e-01,2.708828477438e+01,1.883508855476e+02,3.251215377794e-01,2.222785893431e+01
4.200000e-01,2.903827277322e+01,2.017905537541e+02,3.465630800122e-01,2.698473555898e+01
4.300000e-01,3.112702238018e+01,2.161102006077e+02,3.690845203110e-01,3.269318912879e+01
4.400000e-01,3.336354648011e+01,2.313524844794e+02,3.926547960801e-01,3.951407339734e+01
4.500000e-01,3.575727677582e+01,2.475583398521e+02,4.172181554657e-01,4.762928721837e+01
4.600000e-01,3.831804648259e+01,2.647659861399e+02,4.426884058626e-01,5.722438489490e+01
4.700000e-01,4.105604081475e+01,2.830092758857e+02,4.689420837498e-01,6.849643504144e+01
4.800000e-01,4.398177123508e+01,3.023164981584e+02,4.958111227710e-01,8.163281353735e+01
4.900000e-01,4.710597659013e+01,3.227079152424e+02,5.230741690788e-01,9.680234651626e+01
5.000000e-01,5.043956959816e+01,3.441939684057e+02,5.504478466460e-01,1.141314959711e+02
5.100000e-01,5.399348785687e+01,3.667721613643e+02,5.775770069220e-01,1.336647802011e+02
5.200000e-01,5.777858216363e+01,3.904242963841e+02,6.040256148385e-01,1.553513773925e+02
5.300000e-01,6.180542034563e+01,4.151129594546e+02,6.292679563983e-01,1.789722381660e+02
5.400000e-01,6.608408401873e+01,4.407777012119e+02,6.526817744676e-01,2.041089286022e+02
5.500000e-01,7.062392989093e+01,4.673312511340e+02,6.735443177512e-01,2.300982319811e+02
5.600000e-01,7.543327264823e+01,4.946554322358e+02,6.910326871168e-01,2.559549248607e+02
5.700000e-01,8.051909355307e+01,5.225968900479e+02,7.042307844737e-01,2.803854111894e+02
5.800000e-01,8.588663959598e+01,5.509647398049e+02,7.121442450488e-01,3.017539586028e+02
5.900000e-01,9.153904192769e+01,5.795258549272e+02,7.137258409817e-01,3.186769312549e+02
