time,dof,velocity,ext_force,lenz_force
0.000000e+00,-1.700000000000e+00,0.000000000000e+00,2.000000000000e+01,0.000000000000e+00
1.000000e-02,-1.697973377261e+00,4.053245458972e-01,2.000000000000e+01,1.003514794462e-01
2.000000e-02,-1.691893509072e+00,8.106490917944e-01,2.000000000000e+01,2.094627632819e-01
3.000000e-02,-1.681760395425e+00,1.215973637692e+00,2.000000000000e+01,3.371154965859e-01
4.000000e-02,-1.667574036319e+00,1.621298183589e+00,2.000000000000e+01,4.968452769868e-01
5.000000e-02,-1.649334431753e+00,2.026622729486e+00,2.000000000000e+01,7.062873339183e-01
6.000000e-02,-1.627041581729e+00,2.431947275383e+00,2.000000000000e+01,9.936822977664e-01
7.000000e-02,-1.600695486246e+00,2.837271821280e+00,2.000000000000e+01,1.401715138533e+00
8.000000e-02,-1.570296145303e+00,3.242596367177e+00,2.000000000000e+01,2.001978638698e+00
9.000000e-02,-1.535843558902e+00,3.647920913075e+00,2.000000000000e+01,2.905121574327e+00
1.000000e-01,-1.497337727042e+00,4.053245458972e+00,2.000000000000e+01,4.318009577300e+00
1.100000e-01,-1.454778649723e+00,4.458570004869e+00,2.000000000000e+01,6.573612910894e+00
1.200000e-01,-1.408166326944e+00,4.863894550766e+00,2.000000000000e+01,1.036118148951e+01
1.300000e-01,-1.357500758707e+00,5.269219096663e+00,2.000000000000e+01,1.689694425664e+01
1.400000e-01,-1.302781945011e+00,5.674543642560e+00,2.000000000000e+01,2.870877307259e+01
1.500000e-01,-1.244009885856e+00,6.079868188458e+00,2.000000000000e+01,5.122109441964e+01
1.600000e-01,-1.181184581242e+00,6.485192734355e+00,2.000000000000e+01,9.627388170079e+01
1.700000e-01,-1.114306031169e+00,6.890517280252e+00,2.000000000000e+01,1.928347140557e+02
1.800000e-01,-1.043374235637e+00,7.295841826149e+00,2.000000000000e+01,4.144787090815e+02
1.900000e-01,-9.683891946460e-01,7.701166372046e+00,2.000000000000e+01,9.501743440397e+02
2.000000e-01,-8.893509081960e-01,8.106490917944e+00,2.000000000000e+01,2.179937154481e+03
2.100000e-01,-8.062593762871e-01,8.511815463841e+00,2.000000000000e+01,3.675884245899e+03
2.200000e-01,-7.191145989192e-01,8.917140009738e+00,2.000000000000e+01,1.669862490408e+03
2.300000e-01,-6.279165760924e-01,9.322464555635e+00,2.000000000000e+01,3.530544089372e+01
